"Story","Title","Result","Date","Stability","Duration (s)"
"Gmail account","User is able to access his Gmail account","SUCCESS","2018-11-14T10:36:21.557+02:00[Europe/Kiev]","0.0","7.1"
"Gmail account","Test Remote driver on docker machine","SUCCESS","2018-11-21T23:58:28.746+02:00[Europe/Sofia]","0.0","4.62"
